seed,soil,season,states,info,growth_days,fertilizers,irrigation
Groundnut,Sandy loam,Rabi,Gujarat,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development - follow local extension recommendations
Bajra (Pearl Millet),Light loam,Kharif,Maharashtra,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Sandy loam,Rabi,Karnataka,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal (apply as needed),Rainfed; irrigate at booting and grain filling
Barley,Loamy,Rabi,Haryana,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering (apply as needed),"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Loamy,Rabi,UP,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing - follow local extension recommendations","Water at branching, flowering, pod formation"
Sunflower,Sandy loam,Kharif,Karnataka,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling (apply as needed)"
Potato,Alluvial,Rabi,UP,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Water at stolon formation, tuber bulking"
Onion,Loamy,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash (apply as needed),"Irrigate every 10–12 days, critical at bulb formation"
Tomato,Sandy loam,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits",Irrigate every 6–8 days (apply as needed)
Brinjal,Loamy,Annual,West Bengal,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Loamy,Rabi,UP,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal",Irrigate every 10–12 days (apply as needed)
Cauliflower,Loamy,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash",Irrigate every 8–10 days (apply as needed)
Chilli,Loamy,Rabi,Maharashtra,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Irrigate every 7–10 days
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS (apply as needed)",Irrigate every 12–15 days
Radish,Sandy loam,Rabi,Bihar,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS - follow local extension recommendations",Water every 7–10 days
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations",Irrigate every 5–7 days
Lentil,Loamy,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering"
Gram (Chickpea),Loamy,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal (apply as needed)",One irrigation at pod formation (apply as needed)
Turmeric,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days
Ginger,Alluvial,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits (apply as needed)",Water every 7–10 days
Black Pepper,Loamy,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal - follow local extension recommendations",Irrigate every 10–12 days
Cardamom,Forest soil,Perennial,Kerala,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal (apply as needed)",Regular irrigation in dry months - follow local extension recommendations
Banana,Alluvial,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Water every 7–10 days
Mango,Sandy loam,Perennial,Maharashtra,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Papaya,Sandy loam,Annual,Karnataka,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Water every 7–10 days
Guava,Loamy,Perennial,UP,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual (apply as needed)","Water young plants, flowering, fruiting"
Apple,Sandy loam,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Irrigate during fruit set and dry periods (apply as needed)
Grapes,Loamy,Annual,Maharashtra,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal (apply as needed)",Water every 7–10 days
Pineapple,Laterite,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal - follow local extension recommendations",Irrigate every 10–15 days (apply as needed)
Watermelon,Loamy,Summer,Rajasthan,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting
Muskmelon,Sandy loam,Summer,Rajasthan,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set (apply as needed)",Water at 7–10 day intervals
Pomegranate,Loamy,Perennial,Gujarat,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting (apply as needed)
Coconut,Sandy loam,Perennial,Kerala,"Nut crop, coastal regions",365+,"Organic manure, Potash annual - follow local extension recommendations",Irrigate every 15–20 days (apply as needed)
Tea,Laterite,Perennial,West Bengal,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Water in dry months
Coffee,Loamy,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers",Water in dry season
Tobacco,Alluvial,Kharif,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Jute,Sandy loam,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate if rainfall is insufficient - follow local extension recommendations
Cotton Hybrid,Black soil,Kharif,AP,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering (apply as needed)",Irrigate at boll formation - follow local extension recommendations
Sesame,Sandy loam,Kharif,Gujarat,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations","Usually rainfed, irrigate at flowering"
Castor,Sandy loam,Rabi,Gujarat,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal - follow local extension recommendations,Irrigate at flowering and capsule formation
Safflower,Loamy,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Sandy loam,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate once at flowering (apply as needed)
Peas,Loamy,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen - follow local extension recommendations",Irrigate at flowering and pod filling
Rice,Alluvial,Kharif,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Wheat,Loamy,Rabi,Punjab,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling - follow local extension recommendations"
Maize,Sandy loam,Rabi,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling (apply as needed)","Irrigate at knee-high, tasseling, grain filling (apply as needed)"
Sugarcane,Loamy,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal","Irrigate every 7–12 days in summer, 15–20 in winter - follow local extension recommendations"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering - follow local extension recommendations",Water every 7–12 days during boll formation
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry (apply as needed)
Groundnut,Sandy loam,Kharif,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development
Bajra (Pearl Millet),Light loam,Kharif,Karnataka,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs - follow local extension recommendations",Usually rainfed; 1–2 irrigations if dry (apply as needed)
Jowar (Sorghum),Sandy loam,Kharif,Maharashtra,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; irrigate at booting and grain filling
Barley,Sandy loam,Rabi,Haryana,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering - follow local extension recommendations,"2–3 irrigations: tillering, booting, grain filling - follow local extension recommendations"
Soybean,Black,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling - follow local extension recommendations
Mustard,Sandy,Rabi,Haryana,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Irrigate at branching, flowering, pod formation"
Sunflower,Loamy,Rabi,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling"
Potato,Alluvial,Rabi,UP,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses (apply as needed)","Irrigate at stolon formation, tuber bulking"
Onion,Loamy,Kharif,Gujarat,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash (apply as needed),"Irrigate every 10–12 days, critical at bulb formation (apply as needed)"
Tomato,Loamy,Kharif,Andhra Pradesh,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Water every 6–8 days
Brinjal,Loamy,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Sandy loam,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal (apply as needed)",Irrigate every 10–12 days (apply as needed)
Cauliflower,Sandy loam,Rabi,Punjab,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Irrigate every 8–10 days
Chilli,Sandy loam,Rabi,Andhra Pradesh,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Irrigate every 7–10 days (apply as needed)
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Water every 12–15 days
Radish,Sandy loam,Rabi,Bihar,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS",Irrigate every 7–10 days - follow local extension recommendations
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal (apply as needed)",Irrigate every 5–7 days (apply as needed)
Lentil,Loamy,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering - follow local extension recommendations"
Gram (Chickpea),Loamy,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal (apply as needed)",One irrigation at pod formation
Turmeric,Loamy,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits - follow local extension recommendations",Irrigate every 10–15 days
Ginger,Loamy,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Black Pepper,Loamy,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Irrigate every 10–12 days (apply as needed)
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal (apply as needed)",Regular irrigation in dry months (apply as needed)
Banana,Alluvial,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits (apply as needed)",Irrigate every 7–10 days (apply as needed)
Mango,Sandy loam,Perennial,UP,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set","Irrigate young plants, flowering, fruiting (apply as needed)"
Papaya,Sandy loam,Annual,Karnataka,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Water every 7–10 days
Guava,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual - follow local extension recommendations","Irrigate young plants, flowering, fruiting (apply as needed)"
Apple,Sandy loam,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Irrigate during fruit set and dry periods (apply as needed)
Grapes,Sandy loam,Annual,Maharashtra,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal (apply as needed)",Irrigate every 7–10 days (apply as needed)
Pineapple,Laterite,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Irrigate every 10–15 days (apply as needed)
Watermelon,Loamy,Kharif,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Water weekly until fruiting
Muskmelon,Sandy loam,Summer,Punjab,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set (apply as needed)",Irrigate at 7–10 day intervals
Pomegranate,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Water at flowering and fruiting
Coconut,Coastal soil,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days (apply as needed)
Tea,Laterite,Perennial,West Bengal,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Water in dry months
Coffee,Loamy,Perennial,Tamil Nadu,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season (apply as needed)
Tobacco,Sandy loam,Kharif,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Water every 7–10 days
Jute,Alluvial,Kharif,Assam,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,AP,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation (apply as needed)
Sesame,Alluvial,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal (apply as needed)","Usually rainfed, irrigate at flowering"
Castor,Black soil,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Water at flowering and capsule formation
Safflower,Sandy loam,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering"
Linseed,Sandy loam,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal (apply as needed),Irrigate once at flowering
Peas,Loamy,Rabi,UP,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen (apply as needed)",Irrigate at flowering and pod filling (apply as needed)
Rice,Clay,Kharif,Assam,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Water every 7–10 days
Wheat,Alluvial,Rabi,Uttar Pradesh,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling - follow local extension recommendations","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Kharif,Bihar,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Alluvial,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal - follow local extension recommendations","Irrigate every 7–12 days in summer, 15–20 in winter - follow local extension recommendations"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Black soil,Kharif,Karnataka,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry - follow local extension recommendations
Groundnut,Sandy loam,Kharif,Gujarat,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal - follow local extension recommendations",Irrigate at pegging and pod development
Bajra (Pearl Millet),Light loam,Kharif,Maharashtra,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs - follow local extension recommendations",Usually rainfed; 1–2 irrigations if dry - follow local extension recommendations
Jowar (Sorghum),Sandy loam,Kharif,Maharashtra,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal (apply as needed),Rainfed; irrigate at booting and grain filling (apply as needed)
Barley,Sandy loam,Rabi,Punjab,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering (apply as needed),"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Loamy,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling - follow local extension recommendations
Mustard,Loamy,Rabi,Haryana,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing - follow local extension recommendations","Water at branching, flowering, pod formation"
Sunflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling"
Potato,Sandy loam,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking (apply as needed)"
Onion,Sandy loam,Rabi,Gujarat,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash - follow local extension recommendations,"Water every 10–12 days, critical at bulb formation"
Tomato,Loamy,Kharif,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 6–8 days
Brinjal,Sandy loam,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Sandy loam,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal",Irrigate every 10–12 days - follow local extension recommendations
Cauliflower,Loamy,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash",Irrigate every 8–10 days - follow local extension recommendations
Chilli,Loamy,Rabi,Karnataka,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Irrigate every 7–10 days
Carrot,Loamy,Rabi,Punjab,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days
Radish,Sandy loam,Rabi,Bihar,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS",Water every 7–10 days
Spinach,Loamy,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations",Irrigate every 5–7 days - follow local extension recommendations
Lentil,Loamy,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal (apply as needed)","Usually rainfed, one irrigation at flowering (apply as needed)"
Gram (Chickpea),Sandy loam,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal (apply as needed)",One irrigation at pod formation
Turmeric,Loamy,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits (apply as needed)",Irrigate every 10–15 days
Ginger,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days
Black Pepper,Loamy,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal - follow local extension recommendations",Irrigate every 10–12 days - follow local extension recommendations
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal - follow local extension recommendations",Regular irrigation in dry months - follow local extension recommendations
Banana,Alluvial,Annual,Maharashtra,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits",Water every 7–10 days
Mango,Sandy loam,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set","Irrigate young plants, flowering, fruiting (apply as needed)"
Papaya,Loamy,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days
Guava,Loamy,Perennial,Maharashtra,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual - follow local extension recommendations","Water young plants, flowering, fruiting"
Apple,Loamy,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate during fruit set and dry periods - follow local extension recommendations
Grapes,Sandy loam,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Sandy loam,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Irrigate every 10–15 days - follow local extension recommendations
Watermelon,Sandy loam,Summer,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting (apply as needed)
Muskmelon,Loamy,Summer,Rajasthan,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals - follow local extension recommendations
Pomegranate,Sandy loam,Perennial,Gujarat,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Irrigate at flowering and fruiting
Coconut,Sandy loam,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days
Tea,Laterite,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Irrigate in dry months (apply as needed)
Coffee,Loamy,Perennial,Tamil Nadu,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Loamy,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season (apply as needed)
Tobacco,Sandy loam,Rabi,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Irrigate every 7–10 days (apply as needed)
Jute,Sandy loam,Kharif,Bihar,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Water if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,AP,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation (apply as needed)
Sesame,Alluvial,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering (apply as needed)"
Castor,Black soil,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal (apply as needed),Irrigate at flowering and capsule formation (apply as needed)
Safflower,Loamy,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Linseed,Sandy loam,Rabi,UP,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal,Irrigate once at flowering - follow local extension recommendations
Peas,Loamy,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Water at flowering and pod filling
Rice,Alluvial,Rabi,Andhra Pradesh,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage - follow local extension recommendations",Water every 7–10 days
Wheat,Loamy,Rabi,Haryana,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling (apply as needed)","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Alluvial,Kharif,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling - follow local extension recommendations"
Sugarcane,Alluvial,Annual,Maharashtra,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal - follow local extension recommendations","Water every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Gujarat,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Water every 7–12 days during boll formation
Pulses (Tur/Arhar),Black soil,Kharif,Maharashtra,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry - follow local extension recommendations
Groundnut,Red soil,Kharif,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Irrigate at pegging and pod development - follow local extension recommendations
Bajra (Pearl Millet),Light loam,Kharif,Karnataka,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs (apply as needed)",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Black soil,Rabi,Karnataka,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; water at booting and grain filling
Barley,Sandy loam,Rabi,Haryana,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling
Mustard,Sandy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing (apply as needed)","Irrigate at branching, flowering, pod formation (apply as needed)"
Sunflower,Loamy,Kharif,Karnataka,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling"
Potato,Alluvial,Rabi,West Bengal,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking"
Onion,Loamy,Rabi,Gujarat,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation"
Tomato,Loamy,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 6–8 days
Brinjal,Sandy loam,Annual,Bihar,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days (apply as needed)
Cabbage,Loamy,Rabi,UP,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal",Irrigate every 10–12 days - follow local extension recommendations
Cauliflower,Sandy loam,Rabi,Punjab,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash (apply as needed)",Irrigate every 8–10 days (apply as needed)
Chilli,Loamy,Rabi,Andhra Pradesh,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering - follow local extension recommendations",Water every 7–10 days
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS - follow local extension recommendations",Irrigate every 12–15 days
